"Complete Payment","Thanh toán hoàn tất",""
"optional","tùy chọn",""
"Payment Method","Phương thức thanh toán",""
"Refund Amount","Số tiền hoàn lại",""
"Enter amount...","Nhập số tiền...",""
"Total Amount","Tổng số tiền",""
"Remaining","Còn lại",""
"Change","Tiền thối",""
"Paid in Full","Đã thanh toán đầy đủ",""
"Paid Amount","Số tiền đã thanh toán",""
"Paid: {0}","Đã thanh toán: {0}",""
"Customer Credit Available","Tín dụng khách hàng có sẵn",""
"Customer Outstanding Balance","Số dư nợ của khách hàng",""
"Credit can be applied to invoice","Có thể áp dụng tín dụng cho hóa đơn",""
"Amount owed by customer","Số tiền khách hàng nợ",""
"No outstanding balance","Không có số dư nợ",""
"Save","Lưu",""
"Cancel","Hủy",""
"Submit","Gửi",""
"Delete","Xóa",""
"Edit","Sửa",""
"Search","Tìm kiếm",""
"Close","Đóng",""
"Confirm","Xác nhận",""
"Yes","Có",""
"No","Không",""
"Loading...","Đang tải...",""
"Error","Lỗi",""
"Success","Thành công",""
"Warning","Cảnh báo",""
"Information","Thông tin",""
"Add Item","Thêm sản phẩm",""
"Select Customer","Chọn khách hàng",""
"Create Customer","Tạo khách hàng",""
"Discount","Giảm giá",""
"Tax","Thuế",""
"Total","Tổng cộng",""
"Checkout","Thanh toán",""
"Clear Cart","Xóa giỏ hàng",""
"Hold Invoice","Tạm dừng hóa đơn",""
"Print Receipt","In biên lai",""
"No stock available","Không có hàng trong kho",""
"Item added to cart","Sản phẩm đã thêm vào giỏ",""
"Item removed from cart","Sản phẩm đã xóa khỏi giỏ",""
"Open Shift","Mở ca làm việc",""
"Close Shift","Đóng ca làm việc",""
"Shift Opening","Mở đầu ca làm việc",""
"Shift Closing","Kết thúc ca làm việc",""
"Opening Amount","Số tiền ban đầu",""
"Closing Amount","Số tiền kết thúc",""
"Cash in Hand","Tiền mặt trong tay",""
"Expected Amount","Số tiền dự kiến",""
"Difference","Chênh lệch",""
"Draft Invoices","Bản nháp hóa đơn",""
"Invoice History","Lịch sử hóa đơn",""
"Offline Invoices","Hóa đơn ngoại tuyến",""
"Return Invoice","Hóa đơn hoàn trả",""
"Invoice Number","Số hóa đơn",""
"Date","Ngày",""
"Customer","Khách hàng",""
"Amount","Số tiền",""
"Status","Trạng thái",""
"Paid","Đã thanh toán",""
"Unpaid","Chưa thanh toán",""
"Partially Paid","Thanh toán một phần",""
"Credit Note Issued","Đã phát hành Phiếu tín dụng",""
"Cancelled","Đã hủy",""
"Draft","Bản nháp",""
"Settings","Cài đặt",""
"General","Chung",""
"Appearance","Giao diện",""
"Language","Ngôn ngữ",""
"Select Language","Chọn ngôn ngữ",""
"Theme","Chủ đề",""
"Notifications","Thông báo",""
"Receipt Settings","Cài đặt biên lai",""
"Hardware","Phần cứng",""
"POS Profile","Hồ sơ POS",""
"Network connection error","Lỗi kết nối mạng",""
"Session expired, please login again","Phiên làm việc đã hết hạn, vui lòng đăng nhập lại",""
"Insufficient stock for {0}","Hàng không đủ cho {0}",""
"Invalid quantity","Số lượng không hợp lệ",""
"Please select a customer","Vui lòng chọn khách hàng",""
"Payment processing failed","Xử lý thanh toán không thành công",""
"An unexpected error occurred","Đã xảy ra lỗi không mong muốn",""
"This field is required","Trường này là bắt buộc",""
"Minimum length is {0} characters","Độ dài tối thiểu là {0} ký tự",""
"Maximum length is {0} characters","Độ dài tối đa là {0} ký tự",""
"Please enter a valid email address","Vui lòng nhập địa chỉ email hợp lệ",""
"Please enter a valid phone number","Vui lòng nhập số điện thoại hợp lệ",""
"Please enter a valid number","Vui lòng nhập một số hợp lệ",""
"Value must be positive","Giá trị phải dương",""
"Customer Credit","Tín dụng khách hàng",""
